id,mass
2207,8
2208,26
2209,116
2210,2
2211,57
2212,257
2213,81
2214,27
2215,11
2216,729
2217,51
2218,48
2219,68
2220,6780
2221,404
2222,41
2223,29
2224,35
2225,26
2226,15
2227,17
2228,8
2229,8
2230,98
2231,13
2232,5
2233,2
2234,1
2235,1847
2236,32
2237,24
2238,8
2239,92
2240,19
2241,6
2242,20
2243,58
2244,22
2245,3
2246,48
2247,137
2248,135
2249,109
2250,87
2251,8
2252,24
2253,27
2254,16
2255,1311
2256,2600
2257,444
2258,18
2259,22
2260,12
2261,260
2262,8
2263,135
2264,40
2265,19
2266,23
2267,18
2268,6
2269,3
2270,10
2271,19
2272,4
2273,2
2274,2
2275,2
2276,1
2277,1
2278,80
2279,96
2280,10
2281,10
2282,8
2283,2
2284,2
2285,1
2286,1015
2287,34
2288,826
2289,32
2290,242
2291,1387
2292,300
2293,195
2294,12
2295,44
2296,5
2297,6
2298,359
2299,136
2300,248
2301,275
2302,235
2303,200
2304,138
2305,181
2306,174
2307,165
2308,160
2309,100
2310,126
2311,104
2312,100
2313,105
2314,72
2315,91
2316,64
2317,87
2318,112
2319,80
2320,78
2321,69
2322,41
2323,40
2324,39
2325,42
2326,45
2327,37
2328,47
2329,36
2330,38
2331,42
2332,41
2333,45
2334,44
2335,30
2336,18
2337,34
2338,15
2339,19
2340,27
2341,17
2342,18
2343,20
2344,23
2345,21
2346,26
2347,15
2348,14
2349,16
2350,13
2351,12
2352,18
2353,20
2354,18
2355,18
2356,12
2357,16
2358,9
2359,10
2360,11
2361,8
2362,9
2363,47
2364,37
2365,38
2366,39
2367,46
2368,34
2369,27
2370,29
2371,35
2372,25
2373,22
2374,20
2375,18
2376,18
2377,14
2378,12
2379,26
2380,20
2381,19
2382,16
2383,16
2384,14
2385,24
2386,16
2387,15
2388,14
2389,13
2390,15
2391,12
2392,12
2393,20
2394,14
2395,13
2396,12
2397,15
2398,12
2399,17
2400,9
2401,13
2402,8
2403,13
2404,9
2405,12
2406,6
2407,10
2408,10
2409,8
2410,7
2411,9
2412,10
2413,10
2414,11
2415,9
2416,6
2417,10
2418,7
2419,6
2420,6
2421,29
2422,11
2423,7
2424,12
2425,17
2426,14
2427,16
2428,11
2429,9
2430,8
2431,14
2432,13
2433,8
2434,7
2435,8
2436,6
2437,9
2438,5
2439,5
2440,5
2441,17
2442,11
2443,7
2444,8
2445,12
2446,8
2447,8
2448,12
2449,11
2450,8
2451,8
2452,5
2453,7
2454,8
2455,4
2456,5
2457,10
2458,6
2459,6
2460,21
2461,8
2462,9
2463,7
2464,8
2465,10
2466,8
2467,12
2468,11
2469,7
2470,14
2471,7
2472,8
2473,9
2474,5
2475,5
2476,6
2477,7
2478,11
2479,6
2480,8
2481,6
2482,7
2483,7
2484,6
2485,4
2486,7
2487,7
2488,6
2489,7
2490,9
2491,5
2492,7
2493,4
2494,6
2495,8
2496,5
2497,5
2498,6
2499,6
2500,5
2501,5
2502,6
2503,5
2504,4
2505,6
2506,5
2507,5
2508,4
2509,4
2510,8
2511,10
2512,7
2513,7
2514,7
2515,6
2516,5
2517,5
2518,4
2519,7
2520,4
2521,5
2522,3
2523,3
2524,4
2525,5
2526,3
2527,4
2528,3
2529,4
2530,5
2531,4
2532,3
2533,4
2534,4
2535,5
2536,3
2537,1
2538,7
2539,9
2540,5
2541,5
2542,5
2543,6
2544,5
2545,6
2546,4
2547,3
2548,9
2549,4
2550,3
2551,3
2552,6
2553,6
2554,5
2555,3
2556,4
2557,4
2558,3
2559,4
2560,3
2561,5
2562,4
2563,4
2564,4
2565,6
2566,4
2567,5
2568,6
2569,4
2570,4
2571,3
2572,3
2573,3
2574,3
2575,3
2576,4
2577,3
2578,3
2579,3
2580,143
2581,23
2582,34
2583,9
2584,2
2585,3
2586,3
2587,2
2588,2
2589,1
2590,1
2591,1
2592,1
2593,1
2594,1
2595,1
2596,1
2597,1
2598,1
2599,1
2600,1
2601,1
2602,1
2603,1
2604,1
2605,1
2606,1
2607,1
2608,1
2609,1
2610,1
2611,1
2612,1
2613,0
2614,1
2615,1
2616,1
2617,1
2618,1
2619,1
2620,1
2621,1
2622,1
2623,1
2624,1
2625,1
2626,1
2627,1
2628,1
2629,1
2630,1
2631,1
2632,1
2633,1
2634,1
2635,2
2636,1
2637,1
2638,1
2639,2
2640,1
2641,1
2642,0
2643,1
2644,1
2645,1
2646,0
2647,1
2648,1
2649,1
2650,0
2651,0
2652,48
2653,532
2654,28
2655,21
2656,1
2657,609
2658,49
2659,128
2660,4
2661,1
2662,3
2663,149
2664,142
2665,1
2666,571
2667,128
2668,439
2669,372
2670,232
2671,126
2672,85
2673,104
2674,77
2675,56
2676,48
2677,54
2678,43
2679,50
2680,46
2681,40
2682,36
2683,27
2684,28
2685,28
2686,31
2687,25
2688,25
2689,20
2690,17
2691,18
2692,15
2693,15
2694,15
2695,14
2696,13
2697,14
2698,14
2699,10
2700,9
2701,11
2702,7
2703,9
2704,10
2705,8
2706,9
2707,14
2708,12
2709,8
2710,7
2711,8
2712,5
2713,10
2714,6
2715,6
2716,6
2717,5
2718,6
2719,6
2720,6
2721,8
2722,7
2723,8
2724,7
2725,5
2726,4
2727,5
2728,5
2729,3
2730,4
2731,6
2732,4
2733,3
2734,3
2735,5
2736,4
2737,4
2738,4
2739,4
2740,4
2741,4
2742,4
2743,4
2744,3
2745,3
2746,3
2747,3
2748,3
2749,3
2750,2
2751,3
2752,3
2753,3
2754,2
2755,2
2756,3
2757,3
2758,3
2759,3
2760,2
2761,3
2762,2
2763,2
2764,1
2765,2
2766,3
2767,2
2768,2
2769,3
2770,3
2771,2
2772,2
2773,2
2774,2
2775,2
2776,2
2777,1
2778,1
2779,1
2780,1
2781,1
2782,1
2783,1
2784,1
2785,1
2786,4
2787,5
2788,5
2789,3
2790,3
2791,3
2792,3
2793,2
2794,1
2795,1
2796,2
2797,2
2798,2
2799,1
2800,1
2801,1
2802,10
2803,138
2804,203
2805,10
2806,6
2807,11
2808,9
2809,16
2810,217
2811,356
2812,119
2813,6
2814,7
2815,28
2816,15
2817,6
2818,1
2819,123
2820,134
2821,11
2822,10
2823,1
2824,26
2825,72
2826,40
2827,10
2828,48
2829,12
2830,11
2831,1
2832,39
2833,31
2834,12
2835,5
2836,2
2837,11
2838,13
2839,6
2840,5
2841,6
2842,5
2843,5
2844,4
2845,4
2846,4
2847,3
2848,4
2849,3
2850,3
2851,4
2852,2
2853,0
2854,29
2855,26
2856,27
2857,26
2858,12
2859,4
2860,1
2861,1
2862,1
2863,13
2864,3
2865,7
2866,9
2867,7
2868,4
2869,3
2870,2
2871,3900
2872,272
2873,285
2874,256
2875,250
2876,166
2877,116
2878,18
2879,35
2880,14
2881,15
2882,8
2883,6
2884,0
2885,22
2886,64
2887,1
2888,43
2889,17
2890,8
2891,37
2892,6
2893,4
2894,2
2895,1
2896,1719
2897,118
2898,169
2899,2650
2900,44
2901,21
2902,4
2903,
2904,4230
2905,4180
2906,2700
2907,1044
2908,376
2909,126
2910,58
2911,40
2912,30
2913,29
2914,34
2915,43
2916,16
2917,24
2918,21
2919,16
2920,12
2921,10
2922,9
2923,8
2924,9
2925,6
2926,144
2927,48
2928,37
2929,18
2930,71
2931,242
2932,172
2933,8
2934,5
2935,6
2936,3
2937,2
2938,51
2939,94
2940,16
2941,10
2942,15
2943,13
2944,12
2945,6
