name,year,place,type,mass,coordinates,latitude,longitude
brule is a synonym for ogallala (in nhm cat),,,,,,,
brununu is a synonym for bununu (in nhm cat),,,,,,,
brusa is a synonym for domanitch (in nhm cat),,,,,,,
bubuowly is a synonym for supuhee (in nhm cat),,,,,,,
bückeberg is a synonym for obernkirchen (in nhm cat),,,,,,,
budetin is a synonym for gross-divina (in nhm cat),,,,,,,
buen huerto is a synonym for north chile (in nhm cat),,,,,,,
buenos aires is a synonym for el perdido (in nhm cat),,,,,,,
bueste is a synonym for beuste (in nhm cat),,,,,,,
buey muerto is a synonym for north chile (in nhm cat),,,,,,,
bugaldi is a synonym for boogaldi (in nhm cat),,,,,,,
bulloah is a synonym for butsura (in nhm cat),,,,,,,
buncombe county is a synonym for asheville (in nhm cat),,,,,,,
buncombe county is a synonym for black mountain (in nhm cat),,,,,,,
bunzlau is a synonym for ploschkovitz (in nhm cat),,,,,,,
bunzlau is a synonym for lissa (in nhm cat),,,,,,,
bur is a synonym for bur-gheluai (in nhm cat),,,,,,,
bur gheluai is a synonym for bur-gheluai (from metbase),,,,,,,
bur-hagaba is a synonym for bur-gheluai (in nhm cat),,,,,,,
burgavii is a synonym for burgavli (in nhm cat),,,,,,,
burggraf is a synonym for elbogen (in nhm cat),,,,,,,
burgos is a synonym for berlanguillas (in nhm cat),,,,,,,
burguon is a synonym for chandakapur (in nhm cat),,,,,,,
burke county is a synonym for bridgewater (in nhm cat),,,,,,,
burke county is a synonym for linville (in nhm cat),,,,,,,
burracoppin is a synonym for lake brown (in nhm cat),,,,,,,
bushhof is a synonym for buschhof (in nhm cat),,,,,,,
businski is a synonym for milena (in nhm cat),,,,,,,
butcher iron is a synonym for coahuila (in nhm cat),,,,,,,
buther iron is a synonym for coahuila (in nhm cat),,,,,,,
buwah is a synonym for suwahib (buwah) (in nhm cat),,,,,,,
buwaj suwaihib is a synonym for suwahib (buwah) (in nhm cat),,,,,,,
cabarras county is a synonym for monroe (in nhm cat),,,,,,,
cabarrus county is a synonym for monroe (in nhm cat),,,,,,,
cabaya is a synonym for gibeon (in nhm cat),,,,,,,
cabell is a synonym for cadell (in nhm cat),,,,,,,
cabeza de mayo is a synonym for cabezo de mayo (in nhm cat),,,,,,,
cabezzo de mayo is a synonym for cabezo de mayo (in nhm cat),,,,,,,
cacak is a synonym for guêa (in nhm cat),,,,,,,
cacak is a synonym for jelica (in nhm cat),,,,,,,
cachinal is a synonym for vaca muerta (in nhm cat),,,,,,,
cacova is a synonym for kakowa (in nhm cat),,,,,,,
caille is a synonym for la caille (in nhm cat),,,,,,,
calama 193 is a synonym for calama 153 (calama 193 is a duplicate of 153),,,,,,,
calate 008 is a synonym for calate 005 (duplicate meteorite),,,,,,,
calate 009 is a synonym for calate 006 (duplicate meteorite),,,,,,,
calate 010 is a synonym for calate 007 (duplicate meteorite),,,,,,,
calchaqui is a synonym for vera (in nhm cat),,,,,,,
calderilla is a synonym for imilac (in nhm cat),,,,,,,
caldiero is a synonym for vago (in nhm cat),,,,,,,
callac is a synonym for kerilis (in nhm cat),,,,,,,
callihan is a synonym for calliham (in nhm cat),,,,,,,
camaro is a synonym for messina (in nhm cat),,,,,,,
camaro superiore is a synonym for messina (in nhm cat),,,,,,,
camp verde is a synonym for canyon diablo (in nhm cat),,,,,,,
campamento dadin is a synonym for dadin (in nhm cat),,,,,,,
campo del pucara is a synonym for imilac (in nhm cat),,,,,,,
campo del puchara is a synonym for imilac (in nhm cat),,,,,,,
can-can is a synonym for paranaiba (in nhm cat),,,,,,,
cañada de hierro is a synonym for tucson (in nhm cat),,,,,,,
canara is a synonym for udipi (in nhm cat),,,,,,,
canca is a synonym for paranaiba (from metbase),,,,,,,
cancã is a synonym for paranaiba (in nhm cat),,,,,,,
canemorto is a synonym for orvinio (in nhm cat),,,,,,,
caney fork is a synonym for smithville (in nhm cat),,,,,,,
caney fork is a synonym for carthage (in nhm cat),,,,,,,
cannakale is a synonym for çanakkale (in nhm cat),,,,,,,
cañon diablo is a synonym for canyon diablo (in nhm cat),,,,,,,
canoncito is a synonym for glorieta mountain (in nhm cat),,,,,,,
cany fork is a synonym for smithville (in nhm cat),,,,,,,
canyellas is a synonym for cañellas (from metbase),,,,,,,
canyelles is a synonym for cañellas (in nhm cat),,,,,,,
canyon diablo (1936) is a synonym for canyon diablo (in nhm cat),,,,,,,
canyon diablo (1949) is a synonym for canyon diablo (in nhm cat),,,,,,,
canyon diablo no. 2 is a synonym for canyon diablo (in nhm cat),,,,,,,
canyon diablo no. 3 is a synonym for canyon diablo (in nhm cat),,,,,,,
cape is a synonym for cape of good hope (in nhm cat),,,,,,,
cape iron is a synonym for cape of good hope (in nhm cat),,,,,,,
cape province is a synonym for deelfontein (in nhm cat),,,,,,,
capeisen is a synonym for cape of good hope (in nhm cat),,,,,,,
caperr aiken is a synonym for caperr (in nhm cat),,,,,,,
capitan range is a synonym for el capitan (in nhm cat),,,,,,,
capland is a synonym for hex river mountains (in nhm cat),,,,,,,
capland is a synonym for cape of good hope (in nhm cat),,,,,,,
caracoles is a synonym for imilac (in nhm cat),,,,,,,
caralue is a synonym for cowell (in nhm cat),,,,,,,
caranzalillo is a synonym for corrizatillo (in nhm cat),,,,,,,
caranzatillo is a synonym for corrizatillo (in nhm cat),,,,,,,
caraweena is a synonym for carraweena (in nhm cat),,,,,,,
carcoar is a synonym for cowra (in nhm cat),,,,,,,
carevar is a synonym for cowra (in nhm cat),,,,,,,
cariani is a synonym for vigarano (in nhm cat),,,,,,,
caribrod is a synonym for dimitrovgrad (in nhm cat),,,,,,,
carleton iron is a synonym for tucson (in nhm cat),,,,,,,
carlisle lakes (a) is a synonym for carlisle lakes (in nhm cat),,,,,,,
carlisle lakes 001 is a synonym for carlisle lakes (in nhm cat),,,,,,,
carlsburg is a synonym for ohaba (in nhm cat),,,,,,,
carlton-county is a synonym for carlton (in nhm cat),,,,,,,
carlton-hamilton is a synonym for carlton (in nhm cat),,,,,,,
carnarvon is a synonym for kopjes vlei (in nhm cat),,,,,,,
carnavelpattu is a synonym for mulletiwu (in nhm cat),,,,,,,
carrisalillo is a synonym for vaca muerta (in nhm cat),,,,,,,
carrizalillo is a synonym for vaca muerta (in nhm cat),,,,,,,
carrizalillo is a synonym for corrizatillo (in nhm cat),,,,,,,
carroll county is a synonym for eagle station (in nhm cat),,,,,,,
carsie is a synonym for strathmore (in nhm cat),,,,,,,
carsons well is a synonym for needles (in nhm cat),,,,,,,
carthago is a synonym for carthage (in nhm cat),,,,,,,
caryfort is a synonym for carthage (in nhm cat),,,,,,,
caryfort is a synonym for smithville (in nhm cat),,,,,,,
casa grande is a synonym for indian butte (in mb102),,,,,,,
casale is a synonym for motta di conti (in nhm cat),,,,,,,
casale is a synonym for cereseto (in nhm cat),,,,,,,
casale monferrato is a synonym for cereseto (in nhm cat),,,,,,,
casale piemonte is a synonym for motta di conti (in nhm cat),,,,,,,
caserio ucera is a synonym for ucera (in nhm cat),,,,,,,
casignano is a synonym for borgo san donino (in nhm cat),,,,,,,
casique catan is a synonym for campo del cielo (from metbase),,,,,,,
castel beradengo is a synonym for castel berardenga (in nhm cat),,,,,,,
caster farm is a synonym for beeler (in nhm cat),,,,,,,
castor brothers' farm is a synonym for beeler (in nhm cat),,,,,,,
castor farm is a synonym for beeler (in nhm cat),,,,,,,
catalina 495 is a synonym for catalina 491 (duplicate meteorite),,,,,,,
catamarca is a synonym for imilac (in nhm cat),,,,,,,
catamarka is a synonym for imilac (in nhm cat),,,,,,,
catorce is a synonym for charcas (in nhm cat),,,,,,,
catozze is a synonym for charcas (in nhm cat),,,,,,,
cedar creek is a synonym for alexander county (in nhm cat),,,,,,,
cedertown is a synonym for cedartown (in nhm cat),,,,,,,
ceel cali is a synonym for el ali (somali equivalent),,,,,,,
cella di costamezzana is a synonym for borgo san donino (in nhm cat),,,,,,,
cento is a synonym for renazzo (in nhm cat),,,,,,,
central missouri is a synonym for ainsworth (in nhm cat),,,,,,,
central wyoming is a synonym for willow creek (in nhm cat),,,,,,,
cerralvo is a synonym for coahuila (in nhm cat),,,,,,,
cerro cosina is a synonym for cosina (in nhm cat),,,,,,,
cerro la bomba is a synonym for vaca muerta (in nhm cat),,,,,,,
cerros del buei muerto is a synonym for north chile (in nhm cat),,,,,,,
cerros del buen muerto is a synonym for north chile (in nhm cat),,,,,,,
cerros del buey muerto is a synonym for north chile (in nhm cat),,,,,,,
cesena is a synonym for valdinoce (in nhm cat),,,,,,,
ceylon is a synonym for mulletiwu (in nhm cat),,,,,,,
chachak is a synonym for jelica (in nhm cat),,,,,,,
chaco gualamba is a synonym for campo del cielo (in nhm cat),,,,,,,
chaco gualambo is a synonym for campo del cielo (from metbase),,,,,,,
chaharwala is a synonym for charwallas (in nhm cat),,,,,,,
chañaral is a synonym for merceditas (in nhm cat),,,,,,,
chañaral is a synonym for vaca muerta (in nhm cat),,,,,,,
chañaralino is a synonym for merceditas (in nhm cat),,,,,,,
chang khan is a synonym for chiang khan (in nhm cat),,,,,,,
changanorein is a synonym for cranganore (in nhm cat),,,,,,,
changxing dao is a synonym for changxing (in nhm cat),,,,,,,
charata is a synonym for campo del cielo (in nhm cat),,,,,,,
charca is a synonym for la charca (in nhm cat),,,,,,,
charkov is a synonym for kharkov (in nhm cat),,,,,,,
charles county is a synonym for nanjemoy (in nhm cat),,,,,,,
charleston is a synonym for jenny's creek (in nhm cat),,,,,,,
charleville is a synonym for mont dieu (in nhm cat),,,,,,,
charlotte is a synonym for monroe (in nhm cat),,,,,,,
chartres is a synonym for charsonville (in nhm cat),,,,,,,
château renard is a synonym for château-renard (hyphen was missing in old version of this database),,,,,,,
chateau-renard is a synonym for château-renard (from metbase),,,,,,,
chatillens is a synonym for chervettaz (in nhm cat),,,,,,,
chattooga county is a synonym for holland's store (in nhm cat),,,,,,,
chautonnay is a synonym for chantonnay (in nhm cat),,,,,,,
cherokee county is a synonym for canton (in nhm cat),,,,,,,
cherokee county is a synonym for losttown (in nhm cat),,,,,,,
cherokee mills is a synonym for canton (in nhm cat),,,,,,,
cherson is a synonym for savtschenskoje (in nhm cat),,,,,,,
cherson is a synonym for vavilovka (in nhm cat),,,,,,,
cherson is a synonym for grossliebenthal (in nhm cat),,,,,,,
chervonnyi kut is a synonym for chervony kut (in nhm cat),,,,,,,
chervonyi kut is a synonym for chervony kut (in nhm cat),,,,,,,
chester county is a synonym for chesterville (in nhm cat),,,,,,,
chhabra is a synonym for tonk (in nhm cat),,,,,,,
chiangxing is a synonym for changxing (from metbase),,,,,,,
chiapikou is a synonym for jiapigou (in nhm cat),,,,,,,
chiara is a synonym for trenzano (in nhm cat),,,,,,,
chichimeguilas is a synonym for mazapil (in nhm cat),,,,,,,
chichimequillas is a synonym for mazapil (in nhm cat),,,,,,,
chickasha is a synonym for amber (in nhm cat),,,,,,,
chihuahua is a synonym for casas grandes (in nhm cat),,,,,,,
chihuahua (of h.h. nininger; 1931) is a synonym for chihuahua city (in nhm cat),,,,,,,
chihuahua (of h.h.nininger) is a synonym for chihuahua city (from metbase),,,,,,,
chilcat is a synonym for chilkoot (in nhm cat),,,,,,,
chilcoot is a synonym for chilkoot (in nhm cat),,,,,,,
chilcoot inlet is a synonym for chilkoot (in nhm cat),,,,,,,
chile is a synonym for maria elena (1935) (in nhm cat),,,,,,,
chile is a synonym for north chile (in nhm cat),,,,,,,
chile is a synonym for tamarugal (in nhm cat),,,,,,,
chile is a synonym for vaca muerta (in nhm cat),,,,,,,
chile is a synonym for dehesa (in nhm cat),,,,,,,
chilkat is a synonym for chilkoot (in nhm cat),,,,,,,
chilpanzingo is a synonym for caparrosa (in nhm cat),,,,,,,
chinge is a synonym for chinga (in nhm cat),,,,,,,
chireya is a synonym for butsura (in nhm cat),,,,,,,
chiriya is a synonym for butsura (in nhm cat),,,,,,,
chmelewka is a synonym for khmelevka (in nhm cat),,,,,,,
cholula is a synonym for yanhuitlan (in nhm cat),,,,,,,
christian county is a synonym for billings (in nhm cat),,,,,,,
chug chug 049 is a synonym for chug chug 011 (duplicate meteorite),,,,,,,
chukri is a synonym for merua (in nhm cat),,,,,,,
chuvashskie kissy is a synonym for kissij (in nhm cat),,,,,,,
chuvashskii kissy is a synonym for kissij (in nhm cat),,,,,,,
chwichiya 001 is a synonym for chwichiya (first meteorite in dca),,,,,,,
cihampelas is a synonym for selakopi (from metbase),,,,,,,
cilicin is a synonym for selakopi (from metbase),,,,,,,
cilli is a synonym for stannern (in nhm cat),,,,,,,
cirebon is a synonym for tjerebon (from metbase),,,,,,,
cirencester is a synonym for aldsworth (in nhm cat),,,,,,,
claiborne is a synonym for walker county (in nhm cat),,,,,,,
claiborne is a synonym for lime creek (in nhm cat),,,,,,,
claiborne county is a synonym for tazewell (in nhm cat),,,,,,,
clairborne is a synonym for walker county (in nhm cat),,,,,,,
clarac is a synonym for ausson (in nhm cat),,,,,,,
clarendon is a synonym for paloduro (in nhm cat),,,,,,,
clarke county is a synonym for lime creek (in nhm cat),,,,,,,
claywater is a synonym for vernon county (in nhm cat),,,,,,,
claywater stone is a synonym for vernon county (in nhm cat),,,,,,,
cleburne county is a synonym for chulafinnee (in nhm cat),,,,,,,
cléguérec is a synonym for kernouve (in nhm cat),,,,,,,
clegueric is a synonym for kernouve (in nhm cat),,,,,,,
clois is a synonym for clovis (no. 2) (in nhm cat; metbase says clovis (no. 1)),,,,,,,
clondike is a synonym for gay gulch (in nhm cat),,,,,,,
clondike is a synonym for skookum (in nhm cat),,,,,,,
clovis (b) is a synonym for clovis (no. 2) (in nhm cat),,,,,,,
cmien is a synonym for zmenj (in nhm cat),,,,,,,
coamus farm is a synonym for gibeon (in nhm cat),,,,,,,
cobaya is a synonym for gibeon (in nhm cat),,,,,,,
cobija is a synonym for joel's iron (in nhm cat),,,,,,,
cochin china is a synonym for tuan tuc (in nhm cat),,,,,,,
cocina is a synonym for cosina (in nhm cat),,,,,,,
cocke county is a synonym for cosby's creek (in nhm cat),,,,,,,
cold bokeveld is a synonym for cold bokkeveld (in nhm cat),,,,,,,
cold bokevelt is a synonym for cold bokkeveld (in nhm cat),,,,,,,
cold bokkaveld is a synonym for cold bokkeveld (in nhm cat),,,,,,,
collantifona is a synonym for collescipoli (in nhm cat),,,,,,,
colle antifona is a synonym for collescipoli (in nhm cat),,,,,,,
collin county is a synonym for mckinney (in nhm cat),,,,,,,
colombia is a synonym for santa rosa (in nhm cat),,,,,,,
colonia obrerra is a synonym for colonia obrera (in nhm cat),,,,,,,
colorado is a synonym for bear creek (in nhm cat),,,,,,,
colorado is a synonym for russel gulch (in nhm cat),,,,,,,
colorado (of a. brezina) is a synonym for trenton (in nhm cat),,,,,,,
colorado river is a synonym for canyon diablo (in nhm cat),,,,,,,
commune des ormes is a synonym for les ormes (in nhm cat),,,,,,,
conceicao aparecida is a synonym for patrimonio (from metbase),,,,,,,
conceicão aparecido is a synonym for patrimonio (in nhm cat),,,,,,,
concepcion is a synonym for nogoya (in nhm cat),,,,,,,
concepcion is a synonym for chupaderos (in nhm cat),,,,,,,
coney fork is a synonym for carthage (in nhm cat),,,,,,,
constantia is a synonym for diep river (in nhm cat),,,,,,,
constantinopel is a synonym for constantinople (in nhm cat),,,,,,,
coomandook i is a synonym for coomandook (in nhm cat),,,,,,,
coomandook ii is a synonym for coomandook (in nhm cat),,,,,,,
cooperstown is a synonym for burlington (in nhm cat),,,,,,,
cope (a) is a synonym for cope (in nhm cat),,,,,,,
corboda is a synonym for capilla del monte (in nhm cat),,,,,,,
cordoba is a synonym for capilla del monte (in nhm cat),,,,,,,
corizatillo is a synonym for corrizatillo (in nhm cat),,,,,,,
corlton-hamilton is a synonym for carlton (in nhm cat),,,,,,,
coro is a synonym for ucera (in nhm cat),,,,,,,
corrego areado is a synonym for patos de minas (hexahedrite) (in nhm cat),,,,,,,
corrizalillo is a synonym for corrizatillo (in nhm cat),,,,,,,
corston is a synonym for strathmore (in nhm cat),,,,,,,
cosona is a synonym for siena (in nhm cat),,,,,,,
cossipore is a synonym for manbhoom (in nhm cat),,,,,,,
costa rica is a synonym for heredia (in nhm cat),,,,,,,
costal de garraf is a synonym for garraf (in nhm cat),,,,,,,
costilla is a synonym for costilla peak (in nhm cat),,,,,,,
costilla county is a synonym for costilla peak (in nhm cat),,,,,,,
coterfield is a synonym for cotesfield (in nhm cat),,,,,,,
couch iron is a synonym for coahuila (in nhm cat),,,,,,,
cowley county is a synonym for wilmot (in nhm cat),,,,,,,
coya norte is a synonym for north chile (in nhm cat),,,,,,,
coya sur 005 is a synonym for calama 087 (coordinates were wrong. renamed coya sur-->calama),,,,,,,
crab hole donga is a synonym for crab hole (from metbase),,,,,,,
crathéus (1931) is a synonym for cratheús (1931) (in metbase 7.1),,,,,,,
crathéus (1950) is a synonym for cratheús (1950) (in metbase 7.1),,,,,,,
crawford county is a synonym for mincy (in nhm cat),,,,,,,
cremona is a synonym for alfianello (in nhm cat),,,,,,,
crocker well is a synonym for crocker's well (in nhm cat),,,,,,,
crockett county is a synonym for ozona (in nhm cat),,,,,,,
cross timbers is a synonym for red river (in nhm cat),,,,,,,
crow creek is a synonym for silver crown (in nhm cat),,,,,,,
csillagfalva is a synonym for knyahinya (in nhm cat),,,,,,,
cuanta is a synonym for cuenta (in nhm cat),,,,,,,
cubertson is a synonym for culbertson (in nhm cat),,,,,,,
cuenca del tiburon is a synonym for la yesera 005 (in mb105),,,,,,,
cuerco is a synonym for cuero (in nhm cat),,,,,,,
cuernavaca is a synonym for chupaderos (in nhm cat),,,,,,,
cumberland county is a synonym for crab orchard (in nhm cat),,,,,,,
currant creek is a synonym for guffey (in nhm cat),,,,,,,
cushion is a synonym for cashion (in nhm cat),,,,,,,
cusignano is a synonym for borgo san donino (in nhm cat),,,,,,,
cut off is a synonym for canyon diablo (in nhm cat),,,,,,,
cuvasskije kissy is a synonym for kissij (in nhm cat),,,,,,,
czartorya is a synonym for zaborzika (in nhm cat),,,,,,,
dabra is a synonym for lua (in nhm cat),,,,,,,
dabrowa luzycka is a synonym for sagan (from metbase),,,,,,,
dabrowa ðuzycka is a synonym for sagan (in nhm cat),,,,,,,
dacca is a synonym for shytal (in nhm cat),,,,,,,
dacotah is a synonym for ainsworth (in nhm cat),,,,,,,
dahbubah is a synonym for ad-dahbubah (in nhm cat),,,,,,,
daiet el akhricha is a synonym for akhricha (in nhm cat),,,,,,,
dakhin paiksha is a synonym for dokachi (in nhm cat),,,,,,,
dakota is a synonym for ainsworth (in nhm cat),,,,,,,
dalgetty downs is a synonym for dalgety downs (in nhm cat),,,,,,,
dalgety doun is a synonym for dalgety downs (in nhm cat),,,,,,,
damaraland is a synonym for gibeon (in nhm cat),,,,,,,
dandenong is a synonym for cranbourne (in nhm cat),,,,,,,
dangtai is a synonym for dongtai (in nhm cat),,,,,,,
dangtu is a synonym for po-wang chen (in nhm cat),,,,,,,
dantu is a synonym for po-wang chen (in nhm cat),,,,,,,
daohe is a synonym for nan yang pao (in nhm cat),,,,,,,
daraj 003 is a synonym for daraj 005 (from metbase),,,,,,,
daraj a01 is a synonym for daraj 001 (from metbase),,,,,,,
daraj b01 is a synonym for daraj 101 (from metbase),,,,,,,
daraj k1 is a synonym for daraj 018 (from metbase),,,,,,,
daraj k10 is a synonym for daraj 013 (from metbase),,,,,,,
daraj k12 is a synonym for daraj 015 (from metbase),,,,,,,
daraj k13 is a synonym for daraj 005 (from metbase),,,,,,,
daraj k15 is a synonym for daraj 020 (from metbase),,,,,,,
daraj k17 is a synonym for daraj 116 (from metbase),,,,,,,
daraj k18 is a synonym for daraj 104 (from metbase),,,,,,,
daraj k19 is a synonym for daraj 114 (from metbase),,,,,,,
daraj k2 is a synonym for daraj 009 (from metbase),,,,,,,
daraj k20 is a synonym for daraj 103 (from metbase),,,,,,,
daraj k21 is a synonym for daraj 108 (from metbase),,,,,,,
daraj k23 is a synonym for daraj 106 (from metbase),,,,,,,
daraj k24 is a synonym for daraj 142 (from metbase),,,,,,,
daraj k25 is a synonym for daraj 102 (from metbase),,,,,,,
daraj k26 is a synonym for daraj 112 (from metbase),,,,,,,
daraj k27 is a synonym for daraj 101 (from metbase),,,,,,,
daraj k28 is a synonym for daraj 105 (from metbase),,,,,,,
daraj k29 is a synonym for daraj 125 (from metbase),,,,,,,
daraj k3 is a synonym for daraj 002 (from metbase),,,,,,,
daraj k30 is a synonym for daraj 001 (from metbase),,,,,,,
daraj k31 is a synonym for daraj 107 (from metbase),,,,,,,
daraj k32 is a synonym for daraj 115 (from metbase),,,,,,,
daraj k33 is a synonym for daraj 109 (from metbase),,,,,,,
daraj k35 is a synonym for daraj 127 (from metbase),,,,,,,
daraj k36 is a synonym for daraj 113 (from metbase),,,,,,,
daraj k37 is a synonym for daraj 128 (from metbase),,,,,,,
daraj k38 is a synonym for daraj 111 (from metbase),,,,,,,
daraj k4 is a synonym for daraj 016 (from metbase),,,,,,,
daraj k40 is a synonym for daraj 130 (from metbase),,,,,,,
daraj k42 is a synonym for daraj 131 (from metbase),,,,,,,
daraj k43 is a synonym for daraj 132 (from metbase),,,,,,,
daraj k44 is a synonym for daraj 110 (from metbase),,,,,,,
daraj k45 is a synonym for daraj 133 (from metbase),,,,,,,
daraj k47 is a synonym for daraj 135 (from metbase),,,,,,,
daraj k48 is a synonym for daraj 136 (from metbase),,,,,,,
daraj k49 is a synonym for daraj 137 (from metbase),,,,,,,
daraj k50 is a synonym for daraj 138 (from metbase),,,,,,,
daraj k51 is a synonym for daraj 139 (from metbase),,,,,,,
daraj k6 is a synonym for daraj 019 (from metbase),,,,,,,
daraj k7a is a synonym for daraj 004 (from metbase),,,,,,,
daraj k7b is a synonym for daraj 008 (from metbase),,,,,,,
daraj k8 is a synonym for daraj 011 (from metbase),,,,,,,
daraj k9 is a synonym for daraj 012 (from metbase),,,,,,,
daugarvpils is a synonym for lixna (from metbase),,,,,,,
daugavpils is a synonym for lixna (in nhm cat),,,,,,,
davidson county is a synonym for drake creek (in nhm cat),,,,,,,
davis escarpment is a synonym for thiel mountains 82400 (in nhm cat),,,,,,,
davis strait is a synonym for cape york (from metbase),,,,,,,
davis' strait is a synonym for cape york (in nhm cat),,,,,,,
davy is a synonym for davy (a) (from metbase),,,,,,,
dawson is a synonym for gay gulch (in nhm cat),,,,,,,
dayet el aam 001 is a synonym for dayet el aam (first meteorite in dca),,,,,,,
dayr al aswad 001 is a synonym for dayr al aswad (first meteorite in dca),,,,,,,
de calb county is a synonym for smithville (in nhm cat),,,,,,,
de sotoville is a synonym for tombigbee river (in nhm cat),,,,,,,
death valley is a synonym for plainview (1917) (in nhm cat),,,,,,,
debnevo is a synonym for gumoschnik (in nhm cat),,,,,,,
debreczen is a synonym for kaba (in nhm cat),,,,,,,
decatur county is a synonym for prairie dog creek (in nhm cat),,,,,,,
deep river is a synonym for diep river (in nhm cat),,,,,,,
deesa (of g.a. daubrée) is a synonym for copiapo (in nhm cat),,,,,,,
dehesa (of g.a. daubrée) is a synonym for copiapo (in nhm cat),,,,,,,
dekalb county is a synonym for smithville (in nhm cat),,,,,,,
del parque is a synonym for imilac (in nhm cat),,,,,,,
delphos (d) is a synonym for roosevelt county 082 (from metbase),,,,,,,
deniliquin is a synonym for barratta (in nhm cat),,,,,,,
denman 91060 is a synonym for hughes 009 (from metbase),,,,,,,
densmore (a) is a synonym for densmore (1879) (in nhm cat),,,,,,,
denulguon is a synonym for chandakapur (in nhm cat),,,,,,,
denver is a synonym for bear creek (in nhm cat),,,,,,,
denver county is a synonym for bear creek (in nhm cat),,,,,,,
deoli is a synonym for ranchapur (in nhm cat),,,,,,,
deretschin is a synonym for ruschany (in nhm cat),,,,,,,
derj is a synonym for daraj 001 (in nhm cat),,,,,,,
desaguadero is a synonym for carancas (assigned by nomenclature committee),,,,,,,
descubridora is a synonym for charcas (in nhm cat),,,,,,,
desert of atacama is a synonym for copiapo (in nhm cat),,,,,,,
devica is a synonym for soko-banja (in nhm cat),,,,,,,
device is a synonym for soko-banja (in nhm cat),,,,,,,
dharmsala is a synonym for dhurmsala (in nhm cat),,,,,,,
dhenagur is a synonym for kheragur (in nhm cat),,,,,,,
dho 2043 is a synonym for dho 2034 (duplicate meteorite),,,,,,,
dhofar 1478 is a synonym for shişr 164 (renamed meteorite shortly after approval),,,,,,,
dhofar 1968 is a synonym for dhofar 1880 (duplicate meteorite),,,,,,,
dhofar 2043 is a synonym for dhofar 2034 (duplicate meteorite),,,,,,,
dhulia is a synonym for bhagur (in nhm cat),,,,,,,
diablo canyon is a synonym for canyon diablo (in nhm cat),,,,,,,
diamantina is a synonym for thunda (in nhm cat),,,,,,,
diamond valley 001 is a synonym for diamond valley (first member of new dca),,,,,,,
dickson county is a synonym for charlotte (in nhm cat),,,,,,,
diderot is a synonym for northwest africa 2737 (discredited field name),,,,,,,
didwana-rajod is a synonym for didwana (published in maps without approval),,,,,,,
dimitrovgradsko gvozde is a synonym for dimitrovgrad (in nhm cat),,,,,,,
dinagepur is a synonym for pirgunje (in nhm cat),,,,,,,
dirranbandi is a synonym for wynella (in nhm cat),,,,,,,
dishchii’bikoh ts’iłsǫǫsé tsee is a synonym for dishchii'bikoh (apache for cibecue star stone),,,,,,,
djaul island is a synonym for dyarrl island (in nhm cat),,,,,,,
djel ibone is a synonym for northwest africa 856 (in nhm cat; changed from northwest africa 854),,,,,,,
dluga wola is a synonym for dolgovoli (in nhm cat),,,,,,,
doab is a synonym for futtehpur (in nhm cat),,,,,,,
doab is a synonym for kadonah (in nhm cat),,,,,,,
docco is a synonym for dosso (in nhm cat),,,,,,,
dog is a synonym for cape york (from metbase),,,,,,,
dog creek is a synonym for prairie dog creek (in nhm cat),,,,,,,
dolgaia is a synonym for dolgovoli (in nhm cat),,,,,,,
dolgaia volia is a synonym for dolgovoli (in nhm cat),,,,,,,
dolgaja is a synonym for dolgovoli (in nhm cat),,,,,,,
dolgaja volja is a synonym for dolgovoli (in nhm cat),,,,,,,
dolgaja wolja is a synonym for dolgovoli (in nhm cat),,,,,,,
dolores hidalgo is a synonym for cosina (in nhm cat),,,,,,,
doña inez is a synonym for vaca muerta (in nhm cat),,,,,,,
donas is a synonym for gibeon (in nhm cat),,,,,,,
donga karaod is a synonym for donga kohrod (in nhm cat),,,,,,,
dongling is a synonym for nantan (from metbase),,,,,,,
dongning is a synonym for nantan (in nhm cat),,,,,,,
donguz is a synonym for saratov (in nhm cat),,,,,,,
dooralla is a synonym for durala (in nhm cat),,,,,,,
doornport is a synonym for winburg (in nhm cat),,,,,,,
dores do campo is a synonym for uberaba (in nhm cat),,,,,,,
dores dos campos formosos is a synonym for uberaba (in nhm cat),,,,,,,
douar m'guila is a synonym for douar mghila (in nhm cat),,,,,,,
douar maghila is a synonym for douar mghila (in nhm cat),,,,,,,
drazkov is a synonym for pribram (in nhm cat),,,,,,,
drevdalen is a synonym for trysil (in nhm cat),,,,,,,
dubrow is a synonym for sagan (in nhm cat),,,,,,,
duchesen is a synonym for duchesne (in nhm cat),,,,,,,
duchesne county is a synonym for duchesne (in nhm cat),,,,,,,
duck creek is a synonym for mount edith (in nhm cat),,,,,,,
dugo polje is a synonym for soko-banja (in nhm cat),,,,,,,
duketown is a synonym for duketon (in nhm cat),,,,,,,
dun-le-poëlier is a synonym for la bécasse (in nhm cat),,,,,,,
dünaburg is a synonym for lixna (in nhm cat),,,,,,,
dungo polje is a synonym for soko-banja (in nhm cat),,,,,,,
durango (of p. partsch) is a synonym for rancho de la pila (1882) (in nhm cat),,,,,,,
dwalene is a synonym for dwaleni (in nhm cat),,,,,,,
dzemajtkemis is a synonym for zemaitkiemis (in nhm cat),,,,,,,
dzungaria is a synonym for armanty (in nhm cat),,,,,,,
eagle is a synonym for eagle station (in nhm cat),,,,,,,
