name,year,place,type,mass,coordinates,latitude,longitude
northwest africa 13476 **,2020,(northwest africa),ureilite,251 g,,,
northwest africa 13477 **,2020,(northwest africa),co3,777 g,,,
northwest africa 13478 **,2020,(northwest africa),lunar (feldsp. breccia),59 g,,,
northwest africa 13479 **,2020,(northwest africa),c2-ung,25.9 g,,,
northwest africa 13480 **,2020,(northwest africa),eucrite-mmict,1495 g,,,
northwest africa 13488 **,2020,"tarfaya, morocco",ck6,39.3 g,,,
northwest africa 13494 **,2020,(northwest africa),eucrite,64.3 g,,,
northwest africa 13495 **,2020,(northwest africa),co3,572 g,,,
northwest africa 13496 **,2020,(northwest africa),mesosiderite,123 g,,,
northwest africa 13497 **,2020,(northwest africa),eucrite,528 g,,,
northwest africa 13498 **,2020,(northwest africa),ll3,68.8 g,,,
northwest africa 13499 **,2020,algeria,eucrite,177.7 g,,,
northwest africa 13500 **,2020,(northwest africa),l(ll)3,24.6 g,,,
northwest africa 13506 **,2020,(northwest africa),martian (shergottite),233 g,,,
northwest africa 13507 **,2020,(northwest africa),lodranite,259 g,,,
northwest africa 13508 **,2020,(northwest africa),ureilite,1075 g,,,
northwest africa 13510 **,2020,(northwest africa),howardite,1198 g,,,
northwest africa 13511 **,2020,(northwest africa),r4,1089 g,,,
northwest africa 13513 **,2020,(northwest africa),ureilite,21 g,,,
northwest africa 13514,2020,morocco,l5,2.78 kg,,,
northwest africa 13515,2020,morocco,h5,3.91 kg,,,
northwest africa 13516 **,2020,(northwest africa),eucrite-unbr,546 g,,,
northwest africa 13518 **,2020,(northwest africa),r4-5,2.63 kg,,,
northwest africa 13519 **,2020,(northwest africa),l3-5,234 g,,,
northwest africa 13521 **,2020,(northwest africa),l5,585 g,,,
northwest africa 13534 **,2020,(northwest africa),l4,3.56 kg,,,
northwest africa 13542 **,2020,(northwest africa),cv3,80 g,,,
northwest africa 13543 **,2020,(northwest africa),cv3,4.4 kg,,,
northwest africa 13544 **,2020,(northwest africa),ck5,2.5 kg,,,
northwest africa 13545 **,2020,(northwest africa),eucrite,2.7 kg,,,
northwest africa 13546 **,2020,(northwest africa),lunar (feldsp. breccia),2.3 kg,,,
northwest africa 13547 **,2020,(northwest africa),cm2,17 g,,,
northwest africa 13548 **,2020,(northwest africa),eucrite-melt breccia,700 g,,,
northwest africa 13549 **,2020,(northwest africa),eucrite,25 g,,,
northwest africa 13551 **,2020,(northwest africa),h6,302 g,,,
northwest africa 13552 **,2020,(northwest africa),h5,140 g,,,
northwest africa 13553 **,2020,(northwest africa),l5,455 g,,,
northwest africa 13554,2020,(northwest africa),h5,89 g,,,
northwest africa 13555 **,2020,(northwest africa),ll6,682 g,,,
northwest africa 13556 **,2020,(northwest africa),ll6,286 g,,,
northwest africa 13557 **,2020,(northwest africa),ck6,20 g,,,
northwest africa 13558 **,2020,(northwest africa),h6,80 g,,,
northwest africa 13559 **,2020,(northwest africa),co3,172 g,,,
northwest africa 13560 **,2020,(northwest africa),h5,2.92 kg,,,
northwest africa 13561 **,2020,(northwest africa),martian (polymict breccia),1.5 g,,,
northwest africa 13562 **,2020,(northwest africa),lodranite,90 g,,,
northwest africa 13563 **,2020,(northwest africa),l6,120 g,,,
northwest africa 13564 **,2020,(northwest africa),pallasite,75 g,,,
northwest africa 13565 **,2020,mauritania,mesosiderite,1085 g,,,
northwest africa 13566 **,2020,morocco,ll4,826 g,,,
northwest africa 13567 **,2020,morocco,ll3.1,1980 g,,,
northwest africa 13568 **,2020,"tindouf, algeria",lunar,825 g,,,
northwest africa 13569 **,2020,morocco,cvred3,24.2 g,,,
northwest africa 13572 **,2020,western sahara,howardite,1650 g,,,
northwest africa 13573 **,2020,morocco,cvoxa3,2.88 kg,,,
northwest africa 13574 **,2020,morocco,howardite,1525 g,,,
northwest africa 13575 **,2020,morocco,cvoxb3,1912 g,,,
northwest africa 13578 **,2020,algeria,ck6,6.44 kg,,,
northwest africa 13580 **,2020,algeria,diogenite,700 g,,,
northwest africa 13621 **,2020,mali,lunar (feldsp. breccia),1608 g,,,
northwest africa 13623 **,2020,(northwest africa),mesosiderite,1889 g,,,
northwest africa 13624 **,2020,(northwest africa),winonaite,1161 g,,,
northwest africa 13625 **,2020,(northwest africa),lunar (feldsp. breccia),54 g,,,
northwest africa 13626,2020,(northwest africa),h5,138 g,,,
northwest africa 13627 **,2020,(northwest africa),h3,51 g,,,
northwest africa 13628 **,2020,(northwest africa),eucrite,67 g,,,
northwest africa 13629 **,2020,(northwest africa),h5,420 g,,,
northwest africa 13630 **,2020,(northwest africa),diogenite,85 g,,,
northwest africa 13633 **,2020,algeria,ll3,605 g,,,
northwest africa 13635 **,2020,algeria,h6,2.91 kg,,,
northwest africa 13637 **,2020,algeria,lunar (feldsp. breccia),8.6 g,,,
northwest africa 13638 **,2020,algeria,lunar (feldsp. breccia),512 g,,,
northwest africa 13639 **,2020,morocco,mesosiderite,361 g,,,
northwest africa 13640 **,2020,mauritania,winonaite,935 g,,,
northwest africa 13642 **,2020,(northwest africa),ureilite,169 g,,,
northwest africa 13643 **,2020,(northwest africa),cm2,170 g,,,
northwest africa 13644 **,2020,(northwest africa),l-melt rock,165 g,,,
northwest africa 13645 **,2020,(northwest africa),martian (shergottite),135 g,,,
northwest africa 13646 **,2020,(northwest africa),ll4-6,688 g,,,
northwest africa 13649 **,2020,(northwest africa),howardite,164 g,,,
northwest africa 13650 **,2020,(northwest africa),r3,131 g,,,
northwest africa 13651 **,2020,(northwest africa),eucrite,376 g,,,
northwest africa 13652 **,2020,(northwest africa),winonaite,390 g,,,
northwest africa 13653 **,2020,(northwest africa),h4,525 g,,,
northwest africa 13656 **,2020,(northwest africa),cv3,811 g,,,
northwest africa 13666 **,2020,(northwest africa),h4,455 g,,,
northwest africa 13669 **,2020,(northwest africa),martian (nakhlite),139.2 g,,,
northwest africa 13671 **,2020,algeria,c3-ung,35 g,,,
northwest africa 13673 **,2020,(northwest africa),achondrite (brachinite-like),334 g,,,
northwest africa 13675 **,2020,(northwest africa),ck5,24 g,,,
northwest africa 13676 **,2020,algeria,lunar (feldsp. breccia),698 g,,,
northwest africa 13677 **,2020,(northwest africa),winonaite,2.28 kg,,,
northwest africa 13679 **,2020,(northwest africa),winonaite,1240 g,,,
northwest africa 13680 **,2020,(northwest africa),ureilite,848 g,,,
northwest africa 13682 **,2020,(northwest africa),h6,2.88 kg,,,
northwest africa 13684 **,2020,mauritania,ck5,170 g,,,
northwest africa 13685 **,2020,mauritania,r3-6,486 g,,,
northwest africa 13686 **,2020,mauritania,r5,341 g,,,
northwest africa 13689 **,2020,(northwest africa),c3.00-ung,165 g,,,
northwest africa 13691 **,2020,(northwest africa),l6,140.8 g,,,
northwest africa 13692 **,2020,(northwest africa),diogenite,950 g,,,
northwest africa 13696 **,2020,(northwest africa),winonaite,646 g,,,
northwest africa 13700,2020,mauritania,ll6,1460 g,,,
northwest africa 13702 **,2020,morocco,ck5,34.5 g,,,
northwest africa 13704 **,2020,(northwest africa),martian (shergottite),17 g,,,
northwest africa 13705 **,2020,(northwest africa),diogenite,235 g,,,
northwest africa 13707 **,2020,(northwest africa),cm2,26.7 g,,,
northwest africa 13708 **,2020,(northwest africa),ll3,520 g,,,
northwest africa 13709 **,2020,(northwest africa),l-melt rock,254 g,,,
northwest africa 13710 **,2020,(northwest africa),diogenite,398 g,,,
northwest africa 13711 **,2020,(northwest africa),cm2,26.3 g,,,
northwest africa 13712 **,2020,(northwest africa),diogenite,198.5 g,,,
northwest africa 13713 **,2020,(northwest africa),winonaite,118.3 g,,,
northwest africa 13714 **,2020,(northwest africa),lunar (feldsp. breccia),39.2 g,,,
northwest africa 13715 **,2020,(northwest africa),lunar (feldsp. breccia),176.6 g,,,
northwest africa 13716 **,2020,(northwest africa),martian (shergottite),53.5 g,,,
northwest africa 13717 **,2020,(northwest africa),lunar (feldsp. breccia),24.2 g,,,
northwest africa 13718 **,2020,(northwest africa),ll6,58.8 g,,,
northwest africa 13719 **,2020,(northwest africa),co3,67.3 g,,,
northwest africa 13720 **,2020,(northwest africa),"pallasite, pmg",143.4 g,,,
northwest africa 13724 **,2020,(northwest africa),cr2,476 g,,,
northwest africa 13728 **,2020,(northwest africa),pallasite,40 g,,,
northwest africa 13730 **,2020,(northwest africa),eucrite-unbr,233 g,,,
northwest africa 13733 **,2020,algeria,ll(l)3,287 g,,,
northwest africa 13734 **,2020,algeria,eucrite-mmict,2.9 kg,,,
northwest africa 13737 **,2020,(northwest africa),h5,7.12 kg,,,
northwest africa 13738 **,2020,"adrar, algeria",ll3,431 g,,,
northwest africa 13739 **,2020,"tindouf, algeria",lunar,712 g,,,
northwest africa 13740 **,2020,algeria,mesosiderite,405 g,,,
northwest africa 13741 **,2020,mauritania,ll3-5,257 g,,,
northwest africa 13742 **,2020,mauritania,eucrite,272 g,,,
northwest africa 13745 **,2020,(northwest africa),eucrite-mmict,1094 g,,,
northwest africa 13747 **,2020,(northwest africa),ck5,643 g,,,
