Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)",,
Yamato 790025,Y-790025,Provisional,,1979,Antarctica,Stone-uncl,0.91 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790026,Y-790026,Provisional,,1979,Antarctica,Stone-uncl,2.68 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790027,Y-790027,Provisional,,1979,Antarctica,Stone-uncl,2.75 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790028,Y-790028,Provisional,,1979,Antarctica,Stone-uncl,2.86 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790029,Y-790029,Provisional,,1979,Antarctica,Stone-uncl,2.75 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790030,Y-790030,Provisional,,1979,Antarctica,Stone-uncl,0.37 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790031,Y-790031,Provisional,,1979,Antarctica,Stone-uncl,0.88 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790032,Y-790032,Official,,1979,Antarctica,CR2,6.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790033,Y-790033,Official,,1979,Antarctica,CM2,1.36 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790034,Y-790034,Official,,1979,Antarctica,CR2,0.29 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790035,Y-790035,Official,,1979,Antarctica,L4,4.5 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790036,Y-790036,Official,,1979,Antarctica,L4,4.91 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790037,Y-790037,Official,,1979,Antarctica,L4,4.16 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790038,Y-790038,Official,,1979,Antarctica,L4,3.79 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790039,Y-790039,Official,,1979,Antarctica,L5,1.86 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790040,Y-790040,Official,,1979,Antarctica,L5,1.38 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790041,Y-790041,Official,,1979,Antarctica,L5,1.46 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790042,Y-790042,Official,,1979,Antarctica,H4,2.64 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790043,Y-790043,Official,,1979,Antarctica,H4,162 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790044,Y-790044,Official,,1979,Antarctica,H5-6,44 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
