Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)",Notes,,,
Gatuto **,,Official,Yc,2020,"Central, Kenya",L6,25 kg,109,,"(-0.570000, 37.290000)  ",,,"(-0.570000, 37.290000)  ","(-0.570000, 37.290000)  "
Ghadduwah 001 **,,Official,,2020,"Awbari, Libya",Lunar (anorth),265 g,109,,"(26.803060, 13.535280)  ",,,"(26.803060, 13.535280)  ","(26.803060, 13.535280)  "
Ghardaïa 001 **,,Official,,2020,"Ghardaia, Algeria",Lunar (feldsp. breccia),760 g,110,,"(32.728640, 4.479970)  ",,,"(32.728640, 4.479970)  ","(32.728640, 4.479970)  "
Ghardaïa 002 **,,Official,,2020,"Ghardaia, Algeria",Lunar (feldsp. breccia),90 g,110,,"(32.711970, 4.479970)  ",,,"(32.711970, 4.479970)  ","(32.711970, 4.479970)  "
Gourara 003 **,,Official,,2020,"Ghardaia, Algeria",Eucrite-mmict,3.27 kg,109,,"(29.813170, 2.944330)  ",,,"(29.813170, 2.944330)  ","(29.813170, 2.944330)  "
Guelb Dahmani 001 **,,Official,,2020,"Adrar, Algeria",L5,728 g,111,,"(26.254000, -4.070000)  ",,,"(26.254000, -4.070000)  ","(26.254000, -4.070000)  "
Hassi el Biod 001 **,HeB 001,Official,,2020,"Ouargla, Algeria",Diogenite-an,763 g,109,,"(28.771140, 5.502780)  ",,,"(28.771140, 5.502780)  ","(28.771140, 5.502780)  "
Hassi Messaoud 001 **,,Official,,2020,"Ouargla, Algeria",Martian (nakhlite),75 g,110,,"(31.851830, 6.976500)  ",,,"(31.851830, 6.976500)  ","(31.851830, 6.976500)  "
Hassi Touil 001 **,,Official,,2020,"Illizi, Algeria",Lunar (feldsp. breccia),221 g,110,,"(27.294170, 7.183830)  ",,,"(27.294170, 7.183830)  ","(27.294170, 7.183830)  "
Hongshijing 003 **,,Official,,2020,"Xinjiang, China","Iron, IAB complex",267 g,111,,"(40.383330, 92.350000)  ",,,"(40.383330, 92.350000)  ","(40.383330, 92.350000)  "
Iran 025 **,,Official,,2020,Iran,L3,7.51 kg,111,,,,,,
Jahrom 001,,Official,,2020,"Fars, Iran",L6,1900 g,114†,,"(28.644720, 53.377500)  ",,,"(28.644720, 53.377500)  ","(28.644720, 53.377500)  "
Jandaq 001,,Official,,2020,"Esfahan, Iran",H5§,3.53 kg,112,,"(34.142120, 54.929830)  ",,,"(34.142120, 54.929830)  ","(34.142120, 54.929830)  "
Jandaq 002 **,,Official,,2020,"Esfahan, Iran",LL6§,2.12 kg,112,,"(34.031200, 55.339620)  ",,,"(34.031200, 55.339620)  ","(34.031200, 55.339620)  "
Jandaq 003,,Official,,2020,"Esfahan, Iran",L6,643 g,113,,"(34.099170, 54.204720)  ",,,"(34.099170, 54.204720)  ","(34.099170, 54.204720)  "
Jazmourian 001,,Official,,2020,"Sistan va Baluchestan, Iran",H6,585 g,113,,"(27.042900, 59.994090)  ",,,"(27.042900, 59.994090)  ","(27.042900, 59.994090)  "
Jdiriya 004 **,,Official,,2020,"Saguia el Hamra, Western Sahara",R3,142 g,110,,"(27.290900, -10.367310)  ",,,"(27.290900, -10.367310)  ","(27.290900, -10.367310)  "
Kereb es Sefiat 001 **,KeS 001,Official,,2020,"Tindouf, Algeria",LL3,706 g,110,,"(27.099610, -7.401190)  ",,,"(27.099610, -7.401190)  ","(27.099610, -7.401190)  "
