name,reclass,mass,fall,year,latitude,longitude,coordinates,,decade,address,ccode,country
kindberg **,l6,233 g,,2020,47.51667,15.43333,"47.516670, 15.433330",,2010,"steiermark, austria",AT,Austria
kolang **,cm1/2,2.55 kg,,2020,1.88856,98.661,"1.888560, 98.661000",,2010,"sumatera utara, indonesia",ID,Indonesia
kounadja **,"iron, iva",16.75 kg,,2020,14.9605,-2.96,"14.960500, -2.960000",,2010,"mopti, mali",ML,Mali
krest-kytyl **,h5,57 kg,,2020,62.64667,129.71333,"62.646670, 129.713330",,2010,"respublika sakha(yakutiya), russia",RU,Russian Federation
ksar ghilane 020 **,h6,96 g,,2020,32.88319,9.91892,"32.883190, 9.918920",,2010,"quibili, tunisia",TN,Tunisia
ksar ghilane 021,h5,167 g,,2020,32.89136,9.91286,"32.891360, 9.912860",,2010,"quibili, tunisia",TN,Tunisia
kumtag 064 **,l6,470 g,,2020,41.4325,93.49361,"41.432500, 93.493610",,2010,"xinjiang, china",CN,China
lahmada 048 **,ureilite,59 g,,2020,27.40577,-9.85363,"27.405770, -9.853630",,2010,"saguia el hamra, western sahara",MA,Morocco
lahmada 049 **,pallasite,1000 g,,2020,27.40083,-9.04861,"27.400830, -9.048610",,2010,"saguia el hamra, western sahara",DZ,Algeria
los vientos 385 **,ureilite,65 g,,2020,-24.68333,-69.76667,"-24.683330, -69.766670",,2010,"antofagasta, chile",CL,Chile
los vientos 386 **,eucrite,1946 g,,2020,-24.68333,-69.76667,"-24.683330, -69.766670",,2010,"antofagasta, chile",CL,Chile
los vientos 433,h5§,77 g,,2020,-24.65697,-69.79789,"-24.656970, -69.797890",,2010,"antofagasta, chile",CL,Chile
los vientos 452,h4,329 g,,2020,-24.63533,-69.83789,"-24.635330, -69.837890",,2010,"antofagasta, chile",CL,Chile
los vientos 464 **,h5,353 g,,2020,-24.61672,-69.87764,"-24.616720, -69.877640",,2010,"antofagasta, chile",CL,Chile
los vientos 471,h6§,100 g,,2020,-24.70278,-69.98833,"-24.702780, -69.988330",,2010,"antofagasta, chile",CL,Chile
los vientos 472,h6§,142 g,,2020,-24.70222,-69.98806,"-24.702220, -69.988060",,2010,"antofagasta, chile",CL,Chile
los vientos 476,l6§,474 g,,2020,-24.68333,-69.76667,"-24.683330, -69.766670",,2010,"antofagasta, chile",CL,Chile
los vientos 477,l6§,826 g,,2020,-24.855,-69.90833,"-24.855000, -69.908330",,2010,"antofagasta, chile",CL,Chile
los vientos 555,h6,715 g,,2020,-24.56347,-69.84058,"-24.563470, -69.840580",,2010,"antofagasta, chile",CL,Chile
los vientos 556,h5,36 g,,2020,-24.66708,-69.75592,"-24.667080, -69.755920",,2010,"antofagasta, chile",CL,Chile
